HoofdLijstID,HoofdBeantwoording,Beantwoording,VraagID,SubLijstID,SubBeantwoording,Type
CS00046009,1129573880,1129573880,NULL,CS00040654,1129573881,"S         "
CS00046009,1129573972,1129573972,NULL,CS00040654,1129573973,"S         "
CS00046739,1129574013,1129574013,NULL,CS00032148,1129574014,"S         "
CS00049624,1129573856,1129573856,1000080809,1000019673,1129573859,"M         "
CS00049624,1129574028,1129574028,1000080809,1000019673,1129574029,"M         "
CS00051146,1129573941,1129573941,NULL,CS00052183,1129573944,"S         "
CS00051146,1129573963,1129573963,NULL,CS00052183,1129573964,"S         "
CS00054792,1129573843,1129573843,NULL,CS00040658,1129573844,"S         "
CS00054792,1129573843,1129573843,NULL,CS00054819,1129573845,"S         "
CS00054794,1129573939,1129573939,NULL,CS00040665,1129573940,"S         "
CS00054794,1129573939,1129573939,NULL,CS00054821,1129573943,"S         "
CS00054794,1129573957,1129573957,NULL,CS00040665,1129573946,"S         "
CS00054794,1129573957,1129573957,NULL,CS00054821,1129573958,"S         "
CS00056864,1129573950,1129573950,NULL,CS00033976,1129573951,"S         "
CS00034527,1129574540,1129574540,NULL,CS00034528,1129574541,"S         "
CS00036296,1129574603,1129574606,NULL,CS00033976,1129574607,"S         "
CS00039438,1129570240,1129570240,NULL,CS00035727,1129570241,"S         "
CS00039438,1129574589,1129574589,NULL,CS00035727,1129574590,"S         "
CS00039438,1129574684,1129574684,NULL,CS00035727,1129574685,"S         "
CS00039438,1129574732,1129574732,NULL,CS00035727,1129574733,"S         "
CS00046739,1129574577,1129574577,NULL,CS00061042,1129574578,"S         "
CS00046739,1129574672,1129574672,NULL,CS00061042,1129574673,"S         "
CS00047840,1129568594,1129568594,CS00178153,CS00044981,1129568708,"I         "
CS00047840,1129568594,1129568594,CS00178144,CS00044973,1129569756,"I         "
CS00049624,1129574687,1129574687,1000080809,1000019673,1129574692,"M         "
CS00049624,1129574801,1129574801,1000080809,1000019673,1129574803,"M         "
CS00054791,1129574498,1129574498,NULL,CS00040655,1129574499,"S         "
CS00054791,1129574498,1129574498,NULL,CS00054801,1129574500,"S         "
CS00054792,1129574702,1129574702,NULL,CS00040658,1129573494,"S         "
CS00054792,1129574702,1129574702,NULL,CS00054819,1129574704,"S         "
CS00054792,1129574746,1129574746,NULL,CS00040658,1129574747,"S         "
CS00054792,1129574746,1129574746,NULL,CS00054819,1129574750,"S         "
CS00054792,1129574777,1129574777,NULL,CS00040658,1129574778,"S         "
CS00054792,1129574777,1129574777,NULL,CS00054819,1129574779,"S         "
CS00054793,1129574736,1129574736,NULL,CS00040662,1129574737,"S         "
CS00054793,1129574736,1129574736,NULL,CS00054820,1129574738,"S         "
CS00054794,1129574592,1129574592,NULL,CS00040665,1129574593,"S         "
CS00054794,1129574592,1129574592,NULL,CS00054821,1129574594,"S         "
CS00054794,1129574739,1129574739,NULL,CS00040665,1129574740,"S         "
CS00054794,1129574739,1129574739,NULL,CS00054821,1129574741,"S         "
CS00056766,1129570238,1129570238,NULL,CS00017875,1129570419,"S         "
CS00056766,1129570238,1129570238,NULL,CS00017876,1129570436,"S         "
CS00056766,1129570238,1129570238,NULL,CS00003964,1129570454,"S         "
CS00057697,1129574603,1129574603,NULL,CS00036296,1129574606,"S         "
CS00057731,1129574437,1129574437,CS00216124,CS00053046,1129574439,"M         "
CS00011632,1129575567,1129575567,NULL,CS00006734,1129575569,"S         "
CS00011632,1129575567,1129575567,NULL,CS00057436,1129575570,"S         "
CS00021612,1129575398,1129575398,NULL,CS00002507,1129575399,"S         "
CS00024880,1129575272,1129575272,NULL,CS00021565,1129575409,"S         "
CS00029019,1129574156,1129574156,NULL,CS00039602,1129575583,"S         "
CS00056766,1129573882,1129573882,NULL,CS00003964,1129573971,"S         "
CS00056766,1129573882,1129573882,NULL,CS00017875,1129573991,"S         "
CS00056766,1129573882,1129573882,NULL,CS00017876,1129574021,"S         "
CS00007437,1129574446,1129574446,NULL,CS00058099,1129574694,"S         "
CS00029019,1129574201,1129574201,NULL,CS00039602,1129574202,"S         "
CS00029019,1129574201,1129574201,NULL,CS00029022,1129574203,"S         "
CS00036296,1129574976,1129574977,NULL,CS00033976,1129574978,"S         "
CS00039438,1129574913,1129574913,NULL,CS00035727,1129574914,"S         "
CS00039438,1129574923,1129574923,NULL,CS00035727,1129574924,"S         "
CS00046009,1129574988,1129574988,NULL,CS00040654,1129574989,"S         "
CS00047459,1129574836,1129574836,NULL,CS00025924,1129574837,"S         "
CS00049238,1129574443,1129574443,NULL,CS00003580,1129574444,"S         "
CS00049624,1129574791,1129574791,1000080809,1000019673,1129574792,"M         "
CS00049624,1129574851,1129574851,1000080809,1000019673,1129574852,"M         "
