Teller,Lijsten,LijstIDs,LijstID,MainID,VraagID,Hierarchy,Recur,L_Inactief,V_Inactief,L_Herhaalbaar,V_Herhaalbaar,VTrigger,TreelayID,isTriggered,CHILDID,ONZZANTW,TYPE,STELLING,METADATA,KORTEOMS,STATOMSCHR,PROTOCOL,CONTROLID,NAAM,KEUZELIJST,CATEGORIE,VERVALLEN,BVT_TRIGG,BRON_PROTOCOL,BRON_REFER_PROTOCOL,VERSIE_PROTOCOL,DEFINITIE_PROTOCOL,VRIJE_CODE_PROTOCOL,LSTOBJPD,BEREKENING,HERHAALBAA,BVT_WIZAC,I_LijstID,ValidFrom_UTC_x,ValidTo_UTC_x
1,Anti-Xa(S);,0000003787,0000003787,0000003787,0000012456,00000244950000012456,1,0,0,0,0,,0000024495,,0000012456,0,V,Medicijnsoort:,NULL,Medicijnsoort:,Medicijnsoort:,,0000000003,Keuzelijst,0000002479,LABKCL,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
1,Mnd post ectomie(S);,0100000720,0100000720,0100000720,0100002798,20000067400100002798,1,0,0,0,0,,2000006740,,0100002798,0,V,Hoeveel maanden na ectomie:,NULL,Immuno: Mnd post ectomie:,Mnd post ectomie:,,0000000003,Keuzelijst,2000000583,LABKCL,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
1,Materiaalsoort immunofenotypering(S);,0100000721,0100000721,0100000721,0100002799,20000067410100002799,1,0,0,0,0,,2000006741,,0100002799,0,V,Geef de materiaalsoort op:,NULL,Immuno: Geef de materiaalsoort op:,Materiaalsoort,,0000000003,Keuzelijst,2000000584,LABKCL,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
1,Materiaalsoort Moleculaire diagnostiek(S);,0100000723,0100000723,0100000723,0100002800,20000067420100002800,1,0,0,0,0,,2000006742,,0100002800,0,V,Geef de materiaalsoort op:,NULL,Immuno: Geef de materiaalsoort op:,Materiaalsoort,,0000000003,Keuzelijst,2000000585,LABKCL,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
1,Materiaalsoort BTP(S);,1000000073,1000000073,1000000073,1000000367,20000075791000000367,1,0,0,0,0,1000000367,2000007579,,1000000367,0,V,Geef de materiaalsoort op:,NULL,Geef de materiaalsoort op:,Materiaalsoort,,0000000003,Keuzelijst,2000000630,LABKCL,0,1,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
2,Materiaalsoort BTP(S);,1000000073,1000000073,1000000073,1000000368,200000757920000075801000000368,2,0,0,0,0,,2000007580,1000000367,1000000368,0,V,"Geef de ""Materiaalsoort overig"" op:",NULL,"Geef de ""Materiaalsoort overig"" op:",,,0000000001,Memo,,LABKCL,0,0,NULL,NULL,NULL,NULL,NULL,,,0,1,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
1,Steenanalyse(S);,1000000082,1000000082,1000000082,1000000439,20000076931000000439,1,0,0,0,0,,2000007693,,1000000439,0,V,"Geef ""Herkomst steen"" op:",NULL,Herkomst steen:,Herkomst steen:,,0000000003,Keuzelijst,2000000632,LABKCL,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
1,Punctieplaats(S);,1000000083,1000000083,1000000083,1000000440,20000078831000000440,1,0,0,0,0,,2000007883,,1000000440,0,V,"Geef ""Punctieplaats"" op:",NULL,Punctieplaats:,Punctieplaats:,,0000000003,Keuzelijst,2000000633,LABKCL,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
1,Traumatische punctie(S);,1000000117,1000000117,1000000117,1000000574,20000078841000000574,1,0,0,0,0,,2000007884,,1000000574,0,V,Traumatische punctie:,NULL,Traumatische punctie:,Traumatische punctie:,,0000000003,Keuzelijst,2000000657,LABKCL,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
1,Metabole Diagnostiek (basis- en enzymdiagnostiek)(S);,1000001584,1000001584,1000001584,1000005399,20000219371000005399,1,0,1,0,0,,2000021937,,1000005399,1,V,Huispost nummer aanvrager,NULL,huisport_nr_aanv,Huispost nummer aanvrager,,0000000001,Memo,,KLG,0,0,NULL,NULL,NULL,NULL,NULL,,,0,0,NULL,2024-03-08 18:44:23,9999-12-31 23:59:59
