LIJSTID,CATEGORIE,LIJSTNAAM
CS00016803,A,A.1 Revalidatie gegevens
CS00016804,A,A.1.2 Medische gegevens
CS00016805,A,A.1.3 Behandelindicatie & advies
CS00022262,A,A.1.3 Behandelindicatie & advies
CS00022263,A,A.2 Medische gegevens
1000015591,A,Casus zorgkosten
1000019017,A,Verwijzing controleren (BSN overzichten)
1000019016,A,Verwijzing controleren (verwijzing zoeken)
CS00047923,AANL,([compdrain]==1)
CS00047933,AANL,([exploratie]==='0')
CS00047915,AANL,([lymfade]==1)
CS00047916,AANL,([metastasen]==1)
CS00047910,AANL,([risico]==1) && ([reggroep]==1 || [reggroep]==3)
CS00047914,AANL,([structuren]==1)
CS00047911,AANL,([vaten]==1) && ([beeldv]==1 && [reggroep]==1)
CS00046868,AANL,1-year follow up
CS00046831,AANL,Aandoening
CS00047218,AANL,Ablatie
CS00047227,AANL,Accordering
CS00047732,AANL,Accordering
CS00047743,AANL,Accordering
CS00047891,AANL,Accordering
CS00046845,AANL,Additional anomalies
CS00047889,AANL,Adjuvante behandeling
CS00047207,AANL,Algemeen
CS00047722,AANL,Algemene informatie patiënt
CS00046877,AANL,armafwgc
CS00046876,AANL,armafwsk
CS00046874,AANL,armafwug
CS00046880,AANL,armcmplrec
CS00046879,AANL,armcmplst
CS00046875,AANL,armgen
CS00046878,AANL,armtdlcl
CS00047869,AANL,Beeldvorming 1: Algemeen
CS00047870,AANL,Beeldvorming 2: Resectabiliteit
CS00047871,AANL,Beeldvorming 3: N/M stadium
CS00047217,AANL,Behandeling
CS00047195,AANL,Cardiaal
CS00047856,AANL,Cardiaal
CS00047739,AANL,Cement
CS00047003,AANL,chdcmpopn
CS00047005,AANL,chdovopn
CS00047881,AANL,Chirurgie: Aanvullende resecties
CS00047883,AANL,Chirurgie: Behandeling pancreas stomp
CS00047877,AANL,Chirurgie: Intraoperatief
CS00047880,AANL,Chirurgie: Locatie lokale doorgroei
CS00047884,AANL,Chirurgie: Overige maatregelen
CS00047879,AANL,Chirurgie: Reden geen resectie
CS00047882,AANL,Chirurgie: Technische details
CS00047878,AANL,Chirurgie: Type ingreep indien geen resectie
CS00062996,AANL,Cholesteatoom
CS00046840,AANL,Clinical presentation
CS00047215,AANL,Colorectaal
CS00047194,AANL,Comorbiditeit
CS00047855,AANL,Comorbiditeit (2018)
CS00050583,AANL,Comorbiditeiten
CS00050584,AANL,Comorbiditeiten 1
CS00050585,AANL,Comorbiditeiten 2
CS00047745,AANL,compl
CS00047942,AANL,compl
CS00047944,AANL,compl1
CS00047730,AANL,Complicatie
CS00046863,AANL,Complication redo surgery
CS00046838,AANL,Complications
CS00046843,AANL,Complications
CS00046850,AANL,Complications
CS00046859,AANL,Complications
CS00047740,AANL,Componenten
CS00047943,AANL,compreintv
CS00056061,AANL,COVID-19 module
CS00047197,AANL,Diabetes
CS00047858,AANL,Diabetes
CS00047736,AANL,Diagnose - primary
CS00046836,AANL,"Diagnosed cardiac, bone and GI anomalies"
CS00046834,AANL,Diagnosed spinal cord anomalies
CS00046835,AANL,Diagnosed UG anomalies
CS00046844,AANL,Diagnosis
CS00046867,AANL,Diagnosis and surgery
CS00046833,AANL,Diagnostics
CS00046841,AANL,Diagnostics
CS00046855,AANL,Diagnostics
CS00046864,AANL,Diagnostics and treatment
CS00046852,AANL,Diagnostics and treatment I
CS00046853,AANL,Diagnostics and treatment II
CS00047209,AANL,Diagnostiek
CS00046851,AANL,Discharge
CS00046854,AANL,Discharge
CS00046861,AANL,Discharge
CS00046866,AANL,Discharge
CS00046872,AANL,Discharge
CS00046848,AANL,ECMO
CS00047204,AANL,Endocrien
CS00047865,AANL,Endocriene aandoeningen
CS00047872,AANL,Endoscopie
CS00051759,AANL,Excluderen voor aanleveren (DBC)
CS00051758,AANL,Excluderen voor aanleveren (OK)
CS00046839,AANL,Family history
CS00046869,AANL,Final approval
CS00047225,AANL,Followup
CS00047226,AANL,Follow-up
CS00047741,AANL,Follow-up
CS00047742,AANL,Follow-up
CS00047023,AANL,gastroatr
CS00047026,AANL,gastrocompl
CS00047024,AANL,gastrodefoth
CS00047025,AANL,gastroperopcomp
CS00046882,AANL,hircompl
CS00046881,AANL,hirfamanamn
CS00047223,AANL,Histopathologie
CS00038367,AANL,Identificatie
CS00047852,AANL,Identificatie
CS00047205,AANL,Infectieziekte
CS00047866,AANL,Infectieziekten
CS00047727,AANL,KATZ
CS00047213,AANL,Kenmerken levertumor
CS00047853,AANL,Keuze registratie
CS00047211,AANL,Laboratorium
CS00047868,AANL,Laboratoriumwaarden
CS00047212,AANL,Locatie tumor galwegen of galblaas
CS00047733,AANL,LROI
CS00047200,AANL,Maag - Darm - Lever
CS00047861,AANL,MaagDarmLever
CS00047206,AANL,Maligniteit
CS00047867,AANL,Maligniteit
CS00047214,AANL,Metastase
CS00047874,AANL,Multidisciplinair overleg
CS00047875,AANL,Neoadjuvante behandeling
CS00047199,AANL,Neurologisch / Psychiatrisch
CS00047860,AANL,NeurologischPsychiatrisch
CS00053837,AANL,nonanatom
CS00047016,AANL,oescmov1
CS00047022,AANL,oescmov2
CS00047010,AANL,oesechn
CS00047011,AANL,oeshrt
CS00047028,AANL,omphcompl
CS00047027,AANL,omphperopcomp
CS00046870,AANL,Omphprocedure
CS00047009,AANL,omphreintreq
CS00047029,AANL,omphreintreqsur
CS00047008,AANL,omphsurg
CS00047006,AANL,omphus
CS00047007,AANL,omphus2
