ConfiguredWorkContextId,SegmentId,Disabled
CS00000005,DT00000001,False
CS00000002,CS000366,False
CS00000003,CS00000009,False
CS00000004,CS00000002,False
CS00000004,CS00000006,False
CS00000009,DT00000001,False
CS00000006,DT00000002,False
CS00000008,DT00000001,False
CS00000006,DT00000001,False
CS00000007,DT00000001,False
CS00000007,DT00000002,False
CS00000010,DT00000001,False
CS00000010,DT00000002,False
CS00000011,DT00000001,False
CS00000012,DT00000002,False
CS00000013,DT00000002,False
CS00000014,DT00000001,False
CS00000014,DT00000002,False
CS00000015,DT00000001,False
CS00000016,DT00000001,False
CS00000016,DT00000002,False
CS00000017,DT00000002,False
CS00000018,DT00000001,False
CS00000018,DT00000002,False
CS00000020,DT00000002,False
CS00000021,DT00000002,False
CS00000021,DT00000001,False
CS00000022,DT00000001,False
CS00000023,DT00000001,False
CS00000023,DT00000002,False
CS00000024,DT00000002,False
CS00000027,DT00000002,False
CS00000026,NU,False
CS00000028,DT00000002,False
CS00000033,DT00000002,False
CS00000032,DT00000001,False
CS00000032,DT00000002,False
CS00000035,DT00000001,True
CS00000037,DAG,False
CS00000036,ZORGPAD,False
CS00000034,DT00000002,False
CS00000040,L,False
CS00000041,PRE,False
CS00000042,PRE,False
CS00000045,OPN,False
CS00000045,TOP,False
CS00000046,CS00000078,False
CS00000048,GGZ,False
CS00000047,PSY,False
CS00000048,GGZGV,False
CS00000048,GGZAZR,False
CS00000048,PSO,False
CS00000049,GGZAZR,False
CS00000049,GGZ,False
CS00000049,PSY,False
CS00000050,PSO,False
CS00000050,PSY,True
CS00000051,PSO,False
CS00000051,PSY,True
CS00000052,CS00000065,False
CS00000052,CS00000028,False
CS00000053,CS00000065,False
CS00000054,GGZ,False
CS00000053,CS00000218,False
CS00000054,GGZLGV,False
CS00000055,GGZ,False
CS00000054,PSY,False
CS00000055,GGZGV,False
CS00000055,GGZAZR,False
CS00000055,GGZLGV,False
CS00000055,PSO,False
CS00000056,GGZ,False
CS00000056,PSY,False
CS00000056,PSO,False
CS00000058,KMH,False
CS00000060,ALG,False
CS00000060,INFPRVZKH,False
CS00000062,SEHBES,False
CS00000060,VOORL,False
CS00000064,DT00000002,False
CS00000063,SEHBES,False
CS00000066,APS,False
CS00000066,BAS,False
CS00000066,BLDTRAN,False
CS00000066,CON,False
CS00000066,CSDOC,False
CS00000066,CSMMBP,False
CS00000066,CSMMBK,False
CS00000066,FUN,False
CS00000066,CSOK,False
CS00000066,FUNCTIE,False
CS00000066,LAB,False
CS00000066,LAP,False
CS00000066,LAK,False
CS00000066,NUC,False
CS00000066,OPN,False
CS00000066,PATH,False
CS00000066,PAR,False
CS00000066,PATH_P,False
CS00000066,PATH_K,False
CS00000066,VAM,False
CS00000066,VAE,False
CS00000066,VVD,False
CS00000066,VOM,False
CS00000066,ZCOALG,False
CS00000066,ZP,False
CS00000067,L,False
CS00000068,KMH,False
CS00000069,KMH,False
CS00000070,ALG,False
CS00000070,FUN,False
CS00000070,BLDTRAN,False
CS00000070,LABKCL,False
CS00000070,KRAAM,False
CS00000070,NUC,False
CS00000070,OPN,False
CS00000070,ORDER,False
CS00000070,PATH,False
CS00000070,RAD,False
CS00000070,SCORE,False
CS00000070,VPK,False
CS00000070,ZCO,False
CS00000070,VOORL,False
CS00000070,ZORGPAD,False
CS00000001,CS00000270,False
CS00000005,DT00000002,False
CS00000008,DT00000002,False
CS00000009,DT00000002,False
CS00000011,DT00000002,False
CS00000012,DT00000001,False
CS00000013,DT00000001,False
CS00000015,DT00000002,False
CS00000017,DT00000001,False
CS00000019,DT00000001,False
CS00000020,DT00000001,False
CS00000019,DT00000002,False
CS00000024,DT00000001,False
CS00000025,NU,False
CS00000029,DT00000002,False
CS00000030,DT00000001,False
CS00000031,DT00000001,False
CS00000039,DT00000002,False
CS00000038,CS00000013,False
CS00000043,OPN,False
CS00000044,CS00000013,False
CS00000043,TOP,False
CS00000048,GGZLGV,False
CS00000048,PSY,False
CS00000049,GGZGV,False
CS00000049,GGZLGV,False
CS00000049,PSO,False
CS00000052,CS00000218,False
CS00000053,CS00000028,False
CS00000022,DT00000002,False
CS00000054,GGZGV,False
CS00000054,GGZAZR,False
CS00000054,PSO,False
CS00000055,PSY,False
CS00000056,KJP,False
CS00000057,MDO,False
CS00000057,SEHBES,False
CS00000059,KMH,False
CS00000066,AFS,False
CS00000065,CS00000081,False
CS00000066,BRIEF,False
CS00000066,BLDTRANVPK,False
CS00000066,CS00000015,False
CS00000066,INFPRV,False
CS00000066,KRAAM,False
CS00000066,LAS,False
CS00000066,MDO,False
CS00000066,MMB,False
CS00000066,RAD,False
CS00000066,PATIENT,False
CS00000066,VPK,False
CS00000066,VRI,False
CS00000066,ZCO,False
CS00000070,BAS,False
CS00000070,ALLERGIE,False
CS00000070,INFPRVZKH,False
CS00000070,LABMMB,False
CS00000070,MDO,False
CS00000070,TRANSF,False
CS00000070,TOP,False
CS00000070,VVO,False
CS00000070,ZPVERW,False
CS00000072,DT00000002,False
CS00000074,CS00000334,False
CS00000075,CS00000013,False
CS00000076,PAT,False
CS00000077,APS,False
CS00000077,BAS,False
CS00000077,CSMMBP,False
CS00000077,FUNCTIE,False
CS00000077,ICVB,False
CS00000077,ICVC,False
CS00000077,ICVD,False
CS00000061,KMH,False
CS00000077,ICVME,False
CS00000077,ICVOD,False
CS00000077,ICVP,False
CS00000077,ICVT,False
CS00000077,ICVU,False
CS00000077,LAK,False
CS00000077,MDO,False
CS00000077,PAR,False
CS00000077,PATH_K,False
CS00000077,PATH,False
CS00000077,VAO,False
CS00000077,VAT,False
CS00000077,VDIA,False
CS00000077,VID,False
CS00000077,VII,False
CS00000077,VKU,False
CS00000077,VKS,False
CS00000077,VLIJN,False
CS00000077,VOBT,False
CS00000077,VOM,False
CS00000077,VRI,False
CS00000077,VVD,False
CS00000077,VVS,False
CS00000077,VVV,False
CS00000077,ZP,False
CS00000080,LABMMB,False
CS00000080,LABKCL,False
CS00000080,LIJN PDMS,False
CS00000080,NUC,False
CS00000080,OPN,False
CS00000080,RAD,False
CS00000080,SCORE,False
CS00000080,VPK,False
CS00000080,VOORL,False
CS00000080,VPK KIN,False
CS00000080,VPKOOG,False
CS00000081,CS00000143,False
CS00000080,ZCO,False
CS00000083,CS00000292,False
CS00000086,AFS,False
CS00000090,CS00000002,False
CS00000090,CS00000004,False
CS00000090,CS00000005,False
CS00000090,CS00000008,False
CS00000090,CS00000010,False
CS00000090,CS00000013,False
CS00000090,CS00000019,False
CS00000090,CS00000020,False
CS00000091,CS00000210,False
CS00000090,CS00000024,False
CS00000095,ACCES00001,False
CS00000071,CS00000001,False
CS00000073,CS00000124,False
CS00000074,CS00000302,False
CS00000075,CS00000003,False
CS00000074,CS00000330,False
CS00000075,CS00000017,False
CS00000077,AFS,False
CS00000077,BLDTRAN,False
CS00000077,BRIEF,False
CS00000077,CSMMBK,False
CS00000077,FUN,False
CS00000077,ICI,False
CS00000077,ICJ,False
CS00000077,ICVA,False
CS00000077,ICVDR,False
CS00000077,ICVL,False
CS00000077,ICVI,False
CS00000077,ICVMO,False
CS00000077,ICVO,False
CS00000077,ICVOM,False
CS00000077,ICVS,False
CS00000077,ICVW,False
CS00000077,ICVVS,False
CS00000077,INFPRV,False
CS00000077,LAB,False
CS00000077,LAP,False
CS00000077,NUC,False
CS00000077,ONTSLAGBE,False
CS00000077,RAD,False
CS00000077,VAE,False
CS00000077,PATIENT,False
CS00000077,SIT,False
CS00000077,VAM,False
CS00000077,VAW,False
CS00000077,VIC,False
CS00000077,VIO,False
CS00000077,VKB,False
CS00000077,VKI,False
CS00000077,VKM,False
CS00000077,VKOV,False
CS00000077,VKW,False
CS00000077,VOA,False
CS00000077,VOZ,False
CS00000077,VPA,False
CS00000077,VPC,False
CS00000077,VPK,False
CS00000077,VPO,False
CS00000077,VVR,False
CS00000077,ZCO,False
CS00000078,KMH,False
CS00000080,ALG,False
CS00000079,KMH,False
CS00000080,BLDTRAN,False
CS00000080,INFPRVZKH,False
CS00000080,LIJN,False
CS00000080,NICU,False
CS00000080,PAT,False
CS00000080,ORDER,False
CS00000080,PATH,False
CS00000080,PREVALEN,False
CS00000080,PDMS,False
CS00000080,TOC,False
CS00000080,VPK GYN,False
CS00000080,VPK KNO,False
CS00000080,VPKGER,False
CS00000080,VPK POL,False
CS00000080,VPKHUI,False
CS00000080,VPKONC,False
CS00000080,VV,False
CS00000085,AFS,False
CS00000087,CS00000008,True
CS00000087,CS00000142,True
CS00000089,INFPRV,False
CS00000087,CS00001011,False
CS00000088,INFPRV,False
CS00000090,CS00000003,False
CS00000090,CS00000009,False
CS00000090,CS00000012,False
CS00000090,CS00000011,False
CS00000090,CS00000016,False
CS00000090,CS00000015,False
CS00000090,CS00000014,False
CS00000090,CS00000018,False
CS00000092,INFPRV,False
CS00000093,CS00000271,False
CS00000094,PAN,False
CS00000096,ALLERGIE,False
CS00000097,CS0101,False
CS00000097,CSA039,False
CS00000097,CSA018,False
CS00000098,CS00000188,False
CS00000098,CS00000185,False
CS00000099,CS00000002,False
CS00000100,CS00000167,False
CS00000101,GEV,False
CS00000101,GGZ,True
CS00000101,GGZGV,True
CS00000101,GGZAZR,True
CS00000101,KMH,False
CS00000101,GGZLGV,True
CS00000101,VDD,False
CS00000101,ZPPAT,False
CS00000102,GEV,False
CS00000102,GGZ,True
CS00000102,GGZAZR,True
CS00000102,GGZGV,True
CS00000102,GGZLGV,True
CS00000102,KMH,False
CS00000102,PSO,False
CS00000102,PSY,True
CS00000103,ACCES00001,False
CS00000106,CS00000018,False
CS00000105,CS00000018,False
CS00000107,PSY,True
CS00000107,VDD,False
CS00000108,PSY,True
CS00000108,VDD,False
CS00000109,CS00000064,True
CS00000109,CS00000028,True
CS00000109,CS00000062,True
CS00000110,CS00000064,False
CS00000110,CS00000078,False
CS00000110,CS00000065,False
CS00000110,CS00000218,False
CS00000111,CS00004561,True
CS00000074,CS00000296,False
CS00000074,CS00000318,False
CS00000077,CON,False
CS00000077,CSDOC,False
CS00000077,ICVE,False
