Id,OwnerId,OwnerType,SettingId,SettingSubId,SegmentClassId,ContextType,Inverted
1X00021547,AHEEMEL3,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021549,AHEIDE4,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021551,AHEIJNE2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021554,AHENDR14,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021558,AHENRY3,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
3X00000017,AHENRY4,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021559,AHERCEG2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021562,AHEYNNEM,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021563,AHIENSC2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021564,AHINDRI4,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021566,AHINRIC2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021568,AHOETIN2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021570,AHOETINK,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021577,AHOOGEN,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021578,AHOOGEN,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021583,AHOPPE,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021584,AHOPPE,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021593,AHOVEN5,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021598,AHUISMA2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021599,AHUISMA3,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021600,AHUISMA3,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021603,AHUISMAN,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021604,AHUISMAN,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021608,AHULST3,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021619,AJANSSE7,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021620,AJANSZE,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021627,AJONG40,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
2X00000090,AJONG42,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021632,AJONKER,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021633,AJONKER,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021639,AKAT3,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021641,AKEIJ,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021642,AKERST,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021643,AKERST,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
4X00000016,AKEULEN4,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021645,AKIEVIT2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021650,AKLIJN,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021651,AKLIJN,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021653,AKNULST,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021654,AKNULST,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021655,AKOK4,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021656,AKOK4,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021673,AKORTE2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021676,AKRAAIJ3,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021677,AKRAAN,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021685,AKREMERS,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021687,AKROESE2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021688,AKROESE2,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021689,AKRONENB,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021690,AKRONENB,U,OND_RECHTEN,MC_PATMEDOV,CSZISLIB_ARTS,3,False
1X00021691,AKRONENB,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
2X00000091,AKRUSE,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021701,ALACHMEI,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021704,ALALMOHA,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021705,ALAMMER6,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021709,ALAPOND2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021712,ALEEK2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021713,ALEEK3,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021715,ALEENEN2,U,OND_RECHTEN,MC_PATMEDOV,CSZISLIB_ARTS,3,False
1X00021716,ALEENEN2,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021714,ALEENEN2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021717,ALEEUW10,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021725,ALELY,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021726,ALIEFTIN,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021733,ALINDER2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021734,ALINDER2,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
1X00021736,ALITTOO2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021744,ALUTEIJ2,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021746,AMAANEN,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021747,AMAANEN,U,OND_RECHTEN,WHATSNEW,CSZISLIB_ARTS,6,False
7X00000019,AMANI,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
6X00000005,AMAR,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021759,AMEEDER,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
6X00000006,AMEER14,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
1X00021762,AMEIJE20,U,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_ARTS,6,False
