GUID String;ClassID;Omschrijving
{900982B9-B7D1-47B4-AF3B-A67D3B312E8A};AANLEV_AANLTMPL;AanleveringTmplLogic
{F9ACD0B0-BC3D-4DBF-9FDF-9C580E0E48A0};AANLEV_CATEGORY;Delivery Category
{69288BE1-43A9-4EFC-B04F-6AB666B20635};AANLEV_COMEZAGENCY;Export object batches
{B0D3B1F1-9D88-46F9-87DD-002530533C15};AANLEV_EXPORT;Export objecten
{E23EEA15-409D-4C21-A50B-E33DDB686EF9};AANLEV_EXPORTBATCH;Export object batches
{BCF1E297-B122-4DC9-B112-CBA94164D296};AANLEV_EXPORTCONF;Export configuratie objecten
{4E6975ED-E7C3-45F3-8F14-C6722D81C840};AANLEV_EXPORTDATA;Export data
{B908024D-5F3A-48FC-9E9F-BE30BC1966CF};AANLEV_EXPORTLINK;Gelinkte objecten
{6D81E0AF-18FF-459C-982B-A159730A26FD};AANLEV_EXPORTLINKC;Gelinkte configuratie objecten
{D863C5F9-1F50-446C-8CDB-2C136FC60DB5};AANLEV_FUNC;TemplateFunctionLogic
{0A1C151E-A6DA-43F5-BFC5-1C3947517374};AANLEV_TEMPLATE;TemplateLogic
{53A2022E-96E0-4690-9C00-B9C41FED4CCC};AANLEV_TMPLCAT;Template Category
{3C38E67A-31D9-4995-976D-E83BDE492B16};ADMIT_COLUMNS;Kolommen
{32B82957-8050-4FF2-B70B-2DBD7FCD1A74};ADMIT_DAYCORTIMES;Dagcoördinatie tijdspannes
{7BB59811-2E71-43DF-8EAF-A0A238B27552};ADMIT_DAYOCCTIMES;Dagbezetting tijdspannes
{4570D13B-A4E4-41C0-AD6D-DF7C9FE1B1DF};ADMIT_DUMMYCODEDESC;Afdelingbezetting tijdspannes
{3E960CBF-0E44-4239-81E0-239820B324DC};ADMIT_HOSPITALTIMES;Ziekenhuisbezetting tijdspannes
{8EFFA6BA-97E7-409B-B52A-81D6B77FC1E8};ADMIT_HOSPTOCCTYPES;Opname ziekenhuisbezettingtypes
{089E1C24-3080-426B-9E9D-9F3C37EC8E22};ADMIT_WARDPLANBEDS;Opname planningsoverzicht afdeling bedtypes
