CODE,SEARCHCODE,OMSCHR,MEMO,SOORT,BEDRIJF
&DECAB,&DECAB,Aanvullend - Decentraal Agendabeheer,"LET OP: alleen toekennen als de gebruiker de training hiervoor gevolgd heeft. Dit kan gecontroleerd worden bij Team HiX Zorgplanning.
Bepaalde gebruikers mogen ook rasters aanmaken van de agenda’s van de eigen poli. Zij kunnen van deze aanvullende groep lid worden gemaakt. Op de rechten die bij &DECAB zijn ingesteld worden de standaardwerkcontexten toegepast die de gebruiker verkrijgt vanuit zijn standaardgroep. 
Werkt in combinatie met bijvoorbeeld de subgroepen onder MEDSEC, GVP, VPLSPE, PARMED, FUN.",A,
&+EVS,&+EVS,Aanvullend - Als verlengde arm medicatieopdrachten toevoegen,"Aanvullende groep voor gebruikers die in opdracht van/namens een voorschrijver medicatieopdrachten mogen toevoegen. Deze medicatieopdrachten moeten door de voorschrijver nog wel geaccordeerd worden.
Werkt in combinatie met alle groepen die al toegang hebben tot de medicatielijst (bijvoorbeeld via het voorblad). Kan bijvoorbeeld worden toegekend aan medisch secretaressen.",A,
&APOAR,&APOAR,Aanvullend - Apotheek artikelbeheer,"Deze aanvullende groep beschikt over de autorisaties voor het onderhouden van de logistieke organisatiestructuur en artikelbeheer. Denk aan het onderhouden van artikel-/assortimentbeheer (zowel lokaal als in de Z-index), het onderhouden van de magazijnen en voorraadkasten en het onderhouden van verschillende voorraden in combinatie met batch-serieregistratie.
Werkt in combinatie met de groepen uit de APO-tak.",A,
&DECDB,&DECDB,Aanvullend - Decentraal Documentbeheer,"Deze aanvullende groep is voor gebruikers die in CS-Document - als aanvulling op hun standaardgroep - favorietcategorieën en tekstblokken mogen beheren.
Werkt in combinatie met bijvoorbeeld de subgroepen onder MEDSEC.",A,
&DECDA,&DECDA,Aanvullend - Decentraal plannen Dagbehandeling,"Voor de dagbehandelingen zijn er orders opgenomen in de poliklinische beleidsorders van de specialistische dossiers. Om deze orders te kunnen uitzetten zijn er additionele rechten nodig om deze orders uit te zetten, de bijbehorende vragenlijsten te beantwoorden en de verdere planning te kunnen gebruiken. Deze rechten zijn ingesteld bij de aanvullende groep &DECDA.
Werkt in combinatie met de subgroepen onder SPEC en MEDSEC.",A,
&DECPI,&DECPI,Aanvullend - Decentraal patiënten inschrijven,"Deze aanvullende groep is voor gebruikers die als aanvulling op hun standaardgroep patiënten mogen inschrijven.
Werkt in combinatie met groepen die al inzage hebben in patiëntgegevens.",A,
&DBC,&DBC,Aanvullend - Mag Diagnoses + DBC's registreren,"Aanvullende groep voor gebruikers die DBC’s en diagnoses moeten kunnen registreren, maar dit vanuit hun standaardgroep niet mogen, kunnen aanvullend in deze groep geplaatst worden.
Voorwaarde voor gebruik is dat de gebruiker vanuit de standaardgroep al inzage in DBC’s en diagnoses heeft, met een actieve standaardwerkcontext op deze rechten.",A,
&DECGB,&DECGB,Aanvullend - Decentraal Gebruikersbeheer,"Deze aanvullende groep is voor gebruikers die andere gebruikers lid mogen maken van specifieke (inlog)groepen of het lidmaatschap hiervan mogen ontnemen. In deze aanvullende groep zijn de menuopties en rechten ingesteld die noodzakelijk zijn om de Ziscon-groepen en Ziscon-gebruikers te kunnen benaderen. 
Werkt in combinatie met elke willekeurige andere groep. Bij die groep moet dan wel een standaardwerkcontext worden ingesteld op de groep(en) waarvoor de gebruiker het gebruikersbeheer mag uitvoeren.",A,
AFSBUR,AFSBUR,ZZZ - Afsprakenbureau,,X,
AKVTRI,AKVTRI,Adviseur kwaliteit & Veiligheid / Tripod-onderzoeker,,FU,
APBAGE,APBAGE,Applicatiebeheer CS-Agenda,,FU,
APBBEH,APBBEH,Applicatiebeheer CS-Behandeling,,FU,
APBDAG,APBDAG,Applicatiebeheer CS-Dagbehandeling,,FU,
APBDDR,APBDDR,Applicatiebeheer CS-DDR,,FU,
APBEPI,APBEPI,Applicatiebeheer CS-Episode / CS-Validatie,,FU,
&DECOK,&DECOK,Aanvullend - Decentraal plannen OK,"Deze aanvullende groep is voor gebruikers die als aanvulling op hun standaardgroep ook opnames en operaties mogen plannen voor het eigen specialisme. Deze aanvullende groep kan bijvoorbeeld gebruikt worden voor secretaresses van zelfplannende poli’s.
Werkt in combinatie met bijvoorbeeld de subgroepen onder MEDSEC.",A,
