GROEPCODE,LINKCODE,ISLID,VOLGORDE,BEHEERNIVO,LINKBLOKIMAGE
&DECDA,@GSECPYN,True,,0,False
ZH0406,00002309,True,,0,True
&DECGB,APOTHKL,True,,0,False
&DECGB,@GEVSBH,True,,0,False
&DECOK,@GSECPYN,True,,0,False
ZZZ,@GPADER ,True,,0,False
&DECOP,@GGVPONC,True,,0,False
&DECOP,@GSECHEM,True,,0,False
&DECOP,@GVPLONC,True,,0,False
&DECOP,@GSECPYN,True,,0,False
&DECOP,@GVPLHEM,True,,0,False
&DECOP,SECCHIOO,True,,0,False
DBBEH,MBALVERT,True,,0,True
ZH1584,EVLIEMBE,True,,0,False
ZH0379,THEERIN3,True,,0,False
&SUPVI,NKHABABI,True,,0,False
000074,KNIJENHU,True,,0,True
ZH0369,SCHIPH03,True,,0,False
000062,IOOIJEN2,True,,0,False
ZH0981,00000444,True,,0,False
BAPPD0,00000527,True,,0,False
APBEPD,00000532,True,,0,False
ZH0880,EBOUMAN2,True,,0,False
ZH0982,CKUIJPE8,True,,0,False
ZH1570,@GZH1337,True,,0,False
ZH0380,00000558,True,,0,True
ZH1171,IZIJLST4,True,,0,False
ZH0712,@G000185,True,,0,False
ZH0624,00000588,True,,0,False
ZH0504,00004345,True,,0,True
000102,EKEMME,True,,0,False
000101,DBIE,True,,0,False
000054,00000618,True,,0,False
&SUPVI,00001127,True,,0,True
000057,MTERLIN2,True,,0,False
&SUPVI,00000636,True,,0,True
ZH0349,KHORDIJ2,True,,0,False
ZH1001,JHUL2,True,,0,False
000156,MJONG-JA,True,,0,False
ZZZ,@GKZ    ,True,,0,False
ZH0018,ZH000138,True,,0,True
ZH0021,ZH000141,True,,0,True
ZKH&,@GZH0003,True,,0,False
ZKH&,@GZH0006,True,,0,False
ZH0025,ZH000143,True,,0,True
ZH0026,ZH000144,True,,0,True
ZH0027,ZH000145,True,,0,True
ZZZ,@GSECHRV,True,,0,False
ZH0052,ZH000151,True,,0,True
&DECOP,@GGVPGYN,True,,0,False
ZH0418,@GZH0992,True,,0,False
ZH1338,AFISELIE,True,,0,True
ZH1232,CTIJHAAR,True,,0,False
&SEHMR,SEHART,True,,0,False
&MNDT,@GAPOMAN,True,,0,False
&SEHSA,SEHSA,True,,0,False
&SUPVI,SEHC,True,,0,False
&SUPVI,SEHSA,True,,0,False
&SVPKD,@GGVPONC,True,,0,False
AFSBUR,AFSBUR,True,,0,False
ACCBEH,ACCBEH,True,,0,False
APBAGE,APBAGE,True,,0,False
APBARC,APBARC,True,,0,False
APBBEH,APBBEH,True,,0,False
APBDAG,APBDAG,True,,0,False
APBCRE,APBFIN,True,,0,False
APBDAG,APBKLI,True,,0,False
APBDBG,APBDBG,True,,0,False
APBDDR,APBDDR,True,,0,False
APBDDR,@GAPBEPD,True,,0,False
APBDGR,APBDGR,True,,0,False
APBDOC,@GCS0134,True,,0,False
APBDOC,@GCS0136,True,,0,False
APBDOC,APBDOC,True,,0,False
APBDWH,APBDWH,True,,0,False
APBEPD,@GCS0136,True,,0,False
APBEPD,APBEPD,True,,0,False
APBEPI,APBEPI,True,,0,False
APBFAK,APBFAK,True,,0,False
APBFAK,APBFIN,True,,0,False
APBGGZ,APBGGZ,True,,0,False
APBLAB,APBLAB,True,,0,False
APBMAP,@GCS0134,True,,0,False
APBMED,APBMED,True,,0,False
APBMUL,APBMUL,True,,0,False
APBOCM,APBOCM,True,,0,False
APBOCM,@GAPBEPD,True,,0,False
APBOK,APBOK,True,,0,False
APBOPN,APBKLI,True,,0,False
APBOPN,APBOPN,True,,0,False
APBOVZ,APBOVZ,True,,0,False
APBOVZ,@GCS0134,True,,0,False
APBPDM,@GAPBDLY,True,,0,False
APBPDM,@GAPBPIC,True,,0,False
APBPCT,APBPCT,True,,0,False
APBPDM,@GAPBPTE,True,,0,False
APBPIC,APBPIC,True,,0,False
APBPTE,APBPTE,True,,0,False
APBRLS,APBRLS,True,,0,False
APBRTR,@GAPBPAT,True,,0,False
APBRTR,APBRTR,True,,0,False
APBSEH,@GCS0136,True,,0,False
APBRTR,APBPAT,True,,0,False
APBSPR,APBSPR,True,,0,False
APBSTE,APBSTE,True,,0,False
APBTAB,@GCS0136,True,,0,False
APBTK,APBTK,True,,0,False
APBZPD,APBZPD,True,,0,False
APBVPK,APBVPK,True,,0,False
APO,@GAPOADM,True,,0,False
APO,@GAPOASS,True,,0,False
APO,@GFARMED,True,,0,False
APO,@GAPOTHK,True,,0,False
APOADM,APOADM,True,,0,False
APOASS,@GAPOASP,True,,0,False
APOCY+,APOCY+,True,,0,False
APOCYT,APOCYT,True,,0,False
ARBCOR,ARBCOR,True,,0,False
ATEAM,ATEAM,True,,0,False
AUDIOL,AUDIOL,True,,0,False
AUTBEH,AUTBEH,True,,0,False
BAPAG0,@GBAPAG1,True,,0,False
&DECGB,HAPHA,True,,0,False
&DECOK,SECCHIOO,True,,0,False
&DECOP,@GGVPOOG,True,,0,False
&DECOP,@GGVPURO,True,,0,False
&DECOP,@GPANEF,True,,0,False
&DECOP,@GPAHEM,True,,0,False
ZZZ,@GPAPYN ,True,,0,False
&DECOP,@GSECGYN,True,,0,False
&DECOP,@GSECLON,True,,0,False
&DECOP,@GSECNEF,True,,0,False
&DECOP,@GSECREU,True,,0,False
&DECOP,@GVPLGYN,True,,0,False
&DECOP,@GVPLMDL,True,,0,False
AOIC,AOIC,True,,0,False
APBAGE,@GCS0136,True,,0,False
APBDDR,APBGGZ,True,,0,False
APBDWH,CS000204,True,,0,False
APBEPI,APBFIN,True,,0,False
APBMAP,APBMAP,True,,0,False
APBPDM,@GAPBPOK,True,,0,False
APBPOK,APBPOK,True,,0,False
APBSEH,APBSEH,True,,0,False
APBVMS,APBVMS,True,,0,False
ZH1245,@GZH1246,True,,0,False
APOASS,@GCS0075,True,,0,False
AUDIT,AUDIT,True,,0,False
BAPAG2,@GBAPAG3,True,,0,False
BAPAR0,@GBAPAR1,True,,0,False
BAPDA0,@GBAPDA1,True,,0,False
BAPDB0,BAPDBC,True,,0,False
BAPDO0,@GCS0133,True,,0,False
BAPEP0,@GCS0133,True,,0,False
BAPEP0,@GCS0135,True,,0,False
BAPEP0,BAPEPD,True,,0,False
BAPFU0,BAPFUN,True,,0,False
BAPFA0,BAPFAK,True,,0,False
BAPIN0,BAPINF,True,,0,False
BAPGG0,BAPGGZ,True,,0,False
BAPKO0,BAPKOP,True,,0,False
BAPMA0,@GCS0133,True,,0,False
BAPME2,@GBAPME3,True,,0,False
BAPMM0,BAPMM,True,,0,False
BAPNZ0,BAPNZ,True,,0,False
BAPOK0,@GBAPOK1,True,,0,False
BAPOK1,@GBAPOK2,True,,0,False
BAPOK2,@GBAPOK3,True,,0,False
BAPOP2,@GBAPOP3,True,,0,False
BAPRL0,BAPRLS,True,,0,False
BAPPT0,BAPPTH,True,,0,False
BAPRAS,BAPRAS,True,,0,False
BAPRO0,@GBAPRO1,True,,0,False
BAPPD0,BAPPD,True,,0,False
BAPPR0,BAPPRE,True,,0,False
BAPSP0,BAPSPR,True,,0,False
BAPTA0,@GBAPTA1,True,,0,False
BAPTA0,@GCS0133,True,,0,False
BAPTA2,@GBAPTA3,True,,0,False
BAPTA0,@GCS0135,True,,0,False
BAPTK,BAPTK,True,,0,False
BAPTP0,APBKLI,True,,0,False
BAPVO0,BAPVOE,True,,0,False
BEH,@GCOASS,True,,0,False
BEH,@GPA,True,,0,False
BEH,@GSEMART,True,,0,False
BEH,@GSPEC,True,,0,False
BEH,@GVPLSPE,True,,0,False
BEHEER,@GAPBAGE,True,,0,False
BEHEER,@GACCBEH,True,,0,False
BEHEER,@GAPBARC,True,,0,False
BEHEER,@GAPBDAG,True,,0,False
BEHEER,@GAPBDDR,True,,0,False
BEHEER,@GAPBEPD,True,,0,False
BEHEER,@GAPBDOC,True,,0,False
BEHEER,@GAPBEPI,True,,0,False
BEHEER,@GAPBFAK,True,,0,False
BEHEER,@GAPBFUN,True,,0,False
BEHEER,@GAPBGGZ,True,,0,False
BEHEER,@GAPBLAB,True,,0,False
BEHEER,@GAPBMOB,True,,0,False
BEHEER,@GAPBOCM,True,,0,False
BEHEER,@GAPBOK,True,,0,False
BEHEER,@GAPBOVZ,True,,0,False
BEHEER,@GAPBPRE,True,,0,False
BEHEER,@GAPBRLS,True,,0,False
BEHEER,@GAPBPDM,True,,0,False
BEHEER,@GAPBSTE,True,,0,False
BEHEER,@GAPBRON,True,,0,False
BEHEER,@GAPBTAB,True,,0,False
BEHEER,@GAPBVMS,True,,0,False
BEHEER,@GAPBVOE,True,,0,False
BAPTA1,@GBAPTA2,True,,0,False
BEHEER,@GAPBZPD,True,,0,False
BEHEER,@GAPBZPR,True,,0,False
BEHEER,@GBAPAG0,True,,0,False
BEHEER,@GBAPAR0,True,,0,False
BEHEER,@GBAPDA0,True,,0,False
BEHEER,@GBAPDB0,True,,0,False
BEHEER,@GBAPDW0,True,,0,False
BEHEER,@GBAPFA0,True,,0,False
BEHEER,@GBAPFU0,True,,0,False
BEHEER,@GBAPGG0,True,,0,False
BEHEER,@GBAPIN0,True,,0,False
BEHEER,@GBAPMA0,True,,0,False
BEHEER,@GBAPME0,True,,0,False
BEHEER,@GBAPMM0,True,,0,False
BEHEER,@GBAPNZ0,True,,0,False
BEHEER,@GBAPPD0,True,,0,False
BEHEER,@GBAPPA0,True,,0,False
BEHEER,@GBAPPT0,True,,0,False
BEHEER,@GBAPRAS,True,,0,False
BEHEER,@GBAPRL0,True,,0,False
BEHEER,@GBAPRO0,True,,0,False
BEHEER,@GBAPSP0,True,,0,False
BEHEER,@GBAPTP0,True,,0,False
BEHEER,@GBAPTK,True,,0,False
BEHEER,@GCNVCNT,True,,0,False
BEHEER,@GCS0001,True,,0,False
BEHEER,@GCS0008,True,,0,False
BEHEER,@GCS0009,True,,0,False
BEHEER,@GCS0015,True,,0,False
&DECOK,SECCHIOK,True,,0,False
&DECOP,SECCHIOP,True,,0,False
ZH0113,ZH000111,True,,0,True
ZH0112,ZH000113,True,,0,True
ZH0086,ZH000119,True,,0,True
ZH0124,ZH000120,True,,0,True
ZH0125,ZH000126,True,,0,True
ZH0088,ZH000127,True,,0,True
ZH0091,ZH000130,True,,0,True
ZH0119,ZH000132,True,,0,True
ZH0015,ZH000134,True,,0,True
ZH0017,ZH000136,True,,0,True
ZH0296,ZH000337,True,,0,True
SEMPLA,@GZH0296,True,,0,False
AKVTRI,AKVTRI,True,,0,False
APBAGE,@GCS0134,True,,0,False
APBDLY,APBDLY,True,,0,False
APBFAK,@GAPBCRE,True,,0,False
APBFUN,APBFUN,True,,0,False
APBMOB,APBMOB,True,,0,False
APBOK,APBKLI,True,,0,False
APBOVZ,@GCS0136,True,,0,False
APBPRE,APBPRE,True,,0,False
APBRON,APBRON,True,,0,False
APBTAB,APBTAB,True,,0,False
APBZPR,APBZPR,True,,0,False
APOASP,APOASP,True,,0,False
ARCMDW,ARCMDW,True,,0,False
AZR,AZR,True,,0,False
BAPDO0,@GCS0135,True,,0,False
BAPLA0,BAPLAB,True,,0,False
BAPMA0,BAPMAP,True,,0,False
BAPOP0,@GBAPOP1,True,,0,False
BAPOP1,@GBAPOP2,True,,0,False
BAPSH0,@GCS0135,True,,0,False
BAPTP0,BAPKLI,True,,0,False
BEH,@GGVP,True,,0,False
BEHEER,@GAPBDGR,True,,0,False
BEHEER,@GAPBDWH,True,,0,False
BEHEER,@GAPBMUL,True,,0,False
BEHEER,@GAPBOPN,True,,0,False
BEHEER,@GAPBTK,True,,0,False
BEHEER,@GAPBVPK,True,,0,False
BEHEER,@GBAPDO0,True,,0,False
BEHEER,@GBAPLA0,True,,0,False
BEHEER,@GBAPOK0,True,,0,False
BEHEER,@GBAPSH0,True,,0,False
BEHEER,@GBAPVK0,True,,0,False
BEHEER,@GCS0034,True,,0,False
BEHEER,@GCS0029,True,,0,False
BEHEER,@GCS0093,True,,0,False
BEHEER,@GCS0096,True,,0,False
BEHEER,@GCS0115,True,,0,False
BEHEER,@GCS0132,True,,0,False
BEHEER,@GDBBEH,True,,0,False
BEHEER,@GINRCNT,True,,0,False
BEHEER,@GSYSBH,True,,0,False
BEVMDW,BEVMDW,True,,0,False
BYWERK,BYWERK,True,,0,False
BYWMED,BYWMED,True,,0,False
BYWERK,@GBYWMED,True,,0,False
CHIP,CHIPSOFT,True,,0,False
CNVCNT,@GCS0155,True,,0,False
COASS,@GCOCHI,True,,0,False
COANE,COANE,True,,0,False
ZZZ,@GCOTAN ,True,,0,False
COASS,@GCODER,True,,0,False
COASS,@GCOGYN,True,,0,False
COASS,@GCOGER,True,,0,False
COASS,@GCOIC,True,,0,False
COASS,@GCOINT,True,,0,False
COASS,@GCOKAA,True,,0,False
COASS,@GCOLON,True,,0,False
COASS,@GCONEU,True,,0,False
COASS,@GCOORT,True,,0,False
COASS,@GCOPSY,True,,0,False
COASS,@GCOPLA,True,,0,False
COASS,@GCOREU,True,,0,False
COASS,@GCOSPO,True,,0,False
COASS,@GCOREV,True,,0,False
ZH0083,LBLOM8,True,,0,True
COCAR,COCAR,True,,0,False
COCTC,COCTC,True,,0,False
CODER,CODER,True,,0,False
COGYN,COGYN,True,,0,False
ZH0298,ZH000339,True,,0,True
COIC,COIC,True,,0,False
SEMREU,@GZH0298,True,,0,False
ZZZ,@GSPEBAR,True,,0,False
ZZZ,@GCOCTC ,True,,0,False
COKAA,COKAA,True,,0,False
COKIN,COKIN,True,,0,False
COLON,COLON,True,,0,False
CONEF,CONEF,True,,0,False
COONC,COONC,True,,0,False
COOOG,COOOG,True,,0,False
COPLA,COPLA,True,,0,False
COORT,COORT,True,,0,False
COREU,COREU,True,,0,False
COSPO,COSPO,True,,0,False
COREV,COREV,True,,0,False
COURO,COURO,True,,0,False
CS0001,BAPTRV,True,,0,False
CS0008,BAPLABL,True,,0,False
CS0009,APBLABL,True,,0,False
CS0012,BLAMDWL,True,,0,False
CS0011,KLICHEL,True,,0,False
CS0015,CS000002,True,,0,False
CS0016,CS000003,True,,0,False
CS0017,CS000004,True,,0,False
CS0018,@GCS0065,True,,0,False
CS0018,@GCS0068,True,,0,False
CS0018,@GCS0140,True,,0,False
CS0018,@GCS0142,True,,0,False
CS0018,@GCS0157,True,,0,False
CS0018,@GHISASS,True,,0,False
CS0018,@GHISHA,True,,0,False
CS0020,@GCS0022,True,,0,False
CS0020,@GCS0086,True,,0,False
CS0020,@GCS0023,True,,0,False
CS0026,CS000008,True,,0,False
CS0028,CS000010,True,,0,False
CS0029,CS000013,True,,0,False
CS0032,@GCS0046,True,,0,False
CS0032,@GCS0035,True,,0,False
