GRPUSRCODE,USERCODE,USERBLOKIMAGE,GROUPBLOKIMAGE
A02,OKMDW,False,False
A01,OKMDW,False,False
A03,OKMDW,False,False
A04,OKMDW,False,False
A06,OKMDW,False,False
ZH001099,TSCHINKE,False,False
00000683,00003024,True,False
ZH001407,AKALISVA,False,True
ZH001407,WHAAN,False,True
BAPRON,MVERHOEV,False,False
APBSTE,00000172,False,False
ZH001064,NNOORT,False,True
ZH001421,00003312,False,False
ZH001866,CTHIJSS2,True,False
BAPPD,JNIJS2,False,False
ZH001064,PPETERSE,False,True
ZH001059,DBRAKEL,False,False
APBAGE,00002297,False,True
CS+,CSMYBE,False,False
ZH001064,AOSKAM4,False,True
ZH000782,LMEERWI2,True,False
D01,OKMDW,False,False
D02,OKMDW,False,False
END,SPEINT,False,False
D04,OKMDW,False,False
GGZSK,GGZSKL,False,False
KLVKRM,KLILLV,False,False
KSCC,KLISEC,False,False
KSNEO,KLISEC,False,False
KVCTG,KLIVPL,False,False
KVEND,KLIVPL,False,False
KVIC,KLIVPL,False,False
KVKIN,KLIVPL,False,False
KVNEO,KLIVPL,False,False
OK2,OKMDW,False,True
OK5,OKMDW,False,True
ZH000681,00004020,True,False
P&C,P&CMDW,False,False
POK01,POKMDW,False,False
CS+,CSSTMA,False,False
CS+,CSYOEO,False,False
VIMMCO,VIMMC,False,False
VIMTL,VIMT,False,False
CS+,CSFRBL,False,False
CS+,CSGEDU,False,False
CS+,CSNOHAS,False,False
CS+,CSVEKOO,False,False
CS+,CSTIMHO,False,False
CS+,CSBIAL,False,False
CS+,CSRINE,False,False
CS+,CSVETH,False,False
CS+,CSEVAS,False,False
CS+,CS000307,False,False
CS+,CSSABEL,False,False
CS+,CSMALEE,False,False
CS+,CSALWI,False,False
CS+,CS000181,False,False
CS+,CS000237,False,False
CS+,CS000236,False,False
CS+,CS000251,False,False
CS+,CS VEYP,False,False
CS+,CS000239,False,False
CS+,CS000183,False,False
CS+,CSACOO,False,False
CS+,CSABLUD,False,False
CS+,CSAJ,False,False
CS+,CSAJM,False,False
CS+,CSALHA,False,False
CS+,CSAK,False,False
CS+,CSALBE,False,False
CS+,CS000182,False,False
CS+,CSALBL,False,False
CS+,CSALHE,False,False
CS+,CSANGA,False,False
CS+,CSAN,False,False
CS+,CSANOKO,False,False
CS+,CSANVES,False,False
CS+,CSARVR,False,False
CS+,CSANVO,False,False
CS+,CSAWB,False,False
CS+,CSAP,False,False
CS+,CSANWE,False,False
CS+,CSASVDZ,False,False
CS+,CSAVE,False,False
CS+,CSAR,False,False
CS+,CSBABO,False,False
CS+,CSBGRO,False,False
CS+,CSBEKL,False,False
CS+,CSBHOO,False,False
CS+,CSBOWA,False,False
CS+,CSBEOZ,False,False
CS+,CSBRBO,False,False
CS+,CSBOPO,False,False
CS+,CSBOIJ,False,False
CS+,CSBRWA,False,False
